evidence_id,title,source_url,local_path,source_tier,content_type,evidence_layer,visual_category,channel,era_or_date,captured_at,market,language,creator_or_agency,relevance,reliability,rights_notes,status,related_ids,inclusion_reason,notes
EV-001,About Tekla,https://teklafabrics.com/about-tekla,,primary,brand page,strategy,,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Structural evidence,"Direct brand mission, values, and sustainability statements"
EV-002,Tekla Fabrics homepage,https://teklafabrics.com/,,primary,brand page,verbal,,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Structural evidence,"Navigation, category structure, and on-site promotional copy"
EV-003,Tekla site stylesheet and meta tags,https://teklafabrics.com/_next/static/css/9509757e414b93aa.css,,primary,technical asset,identity and channel tokens,,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Structural evidence,"Live CSS/meta capture: theme-color #181818, page canvas #F6F6F6, self-hosted Unica77 webfont declarations"
EV-004,"Inspired by home, Tekla opens a serene first store in Copenhagen's historic Egmont Building",https://www.wallpaper.com/fashion-beauty/tekla-copenhagen-store,,secondary,article,brand mood,,editorial press,2024,2026-08-24,Global,English,Wallpaper*,high,medium,Third-party editorial; quoted for research only,included,EV-001,Structural evidence,"Store design, material, and modernist-reference description"
EV-005,Tekla Fabrics Founder Charlie Hedin: Crafting Dreams in Textiles,https://www.scandinaviastandard.com/getting-wrapped-up-in-tekla-fabrics/,,secondary,article,strategy,,editorial press,2020,2026-08-24,Global,English,Scandinavia Standard,medium,medium,Third-party editorial; quoted for research only,included,EV-001,Structural evidence,"Founder background and brand origin narrative"
EV-006,Functionality Form and Freedom Brought To You By Charlie Hedin Of Tekla,https://www.forbes.com/sites/felicitycarter/2020/01/15/functionality-form--freedom-brought-to-you-by-charlie-hedin-of-tekla/,,secondary,article,strategy,,editorial press,2020,2026-08-24,Global,English,Forbes,medium,medium,Third-party editorial; quoted for research only,included,EV-001,Structural evidence,"Design philosophy and modernist reference points"
EV-101,Tekla favicon / app icon mark,https://teklafabrics.com/favicon.svg,assets/tekla-mark.svg,primary,image_candidate,identity,logo,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,EV-003,Visual evidence,"Official favicon/app-icon monogram asset served from the live site; not confirmed as the full wordmark lockup"
EV-102,Tekla key visual bed,https://tekla.b-cdn.net/59iE0AZRGoA6HRO2W1POpe/9a69e0ec1aac0abcfe30d2be18e5e686/TEKLA_02_03.jpg,evidence/images/EV-102-key-visual.jpg,primary,image_candidate,key visual,key visual,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Visual evidence,"Homepage og:image; centered bed/duvet against plain wall"
EV-103,Tekla lifestyle sleepwear portrait,https://tekla.b-cdn.net/4BORZEpa1OYbNhqR6nZY61/8def3a2e9ebe1fbeab618ed00bd26c44/BB_TEKLA___2_.jpg,evidence/images/EV-103-photography-a.jpg,primary,image_candidate,photography,brand image,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Visual evidence,"Model in sleepwear, low-key window light, editorial mood"
EV-104,Tekla Copenhagen flagship storefront,https://tekla.b-cdn.net/6Hw4qO6ZY1BbooJHkzyXrK/5335d8a07ce18ca4fdb6f445d77d28e4/Low-Umit-Storeopening4.jpg,evidence/images/EV-104-brand-mood-store.jpg,primary,image_candidate,brand mood,store,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,EV-004,Visual evidence,"Egmont Building storefront window with wordmark on counter and cherry blossom branches"
EV-105,Tekla striped towel stack with woven label,https://tekla.b-cdn.net/50pBo8p4zsqNMqiIfwIPzm/ee72bb3cfded9436b170c3801ff772f5/2073-05-0065.jpg,evidence/images/EV-105-photography-b.jpg,primary,image_candidate,product representation,product photography,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Visual evidence,"Folded terry towels with visible woven TEKLA wordmark tag"
EV-106,Tekla down duvet detail,https://tekla.b-cdn.net/41Xt8wzk7hDxlwxi5GWWaX/5adf389ad44e5b4d536d12f64673883e/Tekla_Core_Down_Duvet_Light_DN-SS_2.jpg,evidence/images/EV-106-product-duvet.jpg,primary,image_candidate,product representation,product photography,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Visual evidence,"Macro crop of channel-quilted duvet with woven care label"
EV-107,Tekla percale pillow sham Douglas Checks,https://tekla.b-cdn.net/4Iqi9pIAngyq7fFLPheJjD/ffcc9afc1d18b6e1a0ac257a87ef4567/Tekla_Percale_Pillow_sham_Douglas_Checks_2.jpg,evidence/images/EV-107-product-pillow.jpg,primary,image_candidate,product native,industrial design,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Visual evidence,"Close crop of woven check pattern and printed brand label"
EV-108,Tekla home slipper detail,https://tekla.b-cdn.net/6KoOT8wPNJSrwH3fwOJAeh/1c474a50ed65b8196bda96499d536e53/Tekla_Home_slipper_Accessories_Brown_4.jpg,evidence/images/EV-108-product-native-detail.jpg,primary,image_candidate,product native,industrial design,owned web,2026,2026-08-24,Global,English,Tekla,high,high,Copyright Tekla; research reference only,included,,Visual evidence,"Shearling slipper construction and interior label detail"
